# t [s], T [K], YF
2.919999999999991694e-05,1.100009546584531790e+03,5.999959325571598001e-02
2.929999999999991598e-05,1.100009579281303104e+03,5.999959186263238015e-02
2.939999999999991503e-05,1.100009611978094881e+03,5.999959046954793374e-02
2.949999999999991407e-05,1.100009644674907349e+03,5.999958907646264772e-02
2.959999999999991311e-05,1.100009677371740281e+03,5.999958768337651516e-02
2.969999999999991215e-05,1.100009710068593904e+03,5.999958629028953605e-02
2.979999999999991120e-05,1.100009742765468218e+03,5.999958489720171734e-02
2.989999999999991024e-05,1.100009775462362995e+03,5.999958350411305208e-02
2.999999999999990928e-05,1.100009808159278464e+03,5.999958211102354028e-02
3.009999999999990832e-05,1.100009840856214396e+03,5.999958071793318193e-02
3.019999999999990737e-05,1.100009873553171019e+03,5.999957932484198397e-02
3.029999999999990641e-05,1.100009906250148333e+03,5.999957793174993947e-02
3.039999999999990545e-05,1.100009938947146111e+03,5.999957653865704843e-02
3.049999999999990449e-05,1.100009971644164580e+03,5.999957514556331778e-02
3.059999999999990354e-05,1.100010004341203739e+03,5.999957375246874058e-02
3.069999999999990597e-05,1.100010037038263363e+03,5.999957235937331684e-02
3.079999999999990840e-05,1.100010069735343677e+03,5.999957096627704656e-02
3.089999999999991083e-05,1.100010102432444683e+03,5.999956957317993667e-02
3.099999999999991326e-05,1.100010135129566152e+03,5.999956818008198023e-02
3.109999999999991569e-05,1.100010167826708312e+03,5.999956678698317725e-02
3.119999999999991812e-05,1.100010200523871163e+03,5.999956539388352772e-02
3.129999999999992055e-05,1.100010233221054705e+03,5.999956400078303859e-02
3.139999999999992298e-05,1.100010265918258710e+03,5.999956260768170291e-02
3.149999999999992541e-05,1.100010298615483407e+03,5.999956121457952068e-02
3.159999999999992784e-05,1.100010331312728795e+03,5.999955982147649886e-02
3.169999999999993027e-05,1.100010364009994646e+03,5.999955842837263048e-02
3.179999999999993270e-05,1.100010396707281188e+03,5.999955703526791556e-02
3.189999999999993513e-05,1.100010429404588422e+03,5.999955564216235410e-02
3.199999999999993757e-05,1.100010462101916346e+03,5.999955424905595303e-02
3.209999999999994000e-05,1.100010494799264734e+03,5.999955285594870541e-02
3.219999999999994243e-05,1.100010527496633813e+03,5.999955146284061125e-02
3.229999999999994486e-05,1.100010560194023583e+03,5.999955006973167054e-02
3.239999999999994729e-05,1.100010592891434044e+03,5.999954867662189023e-02
3.249999999999994972e-05,1.100010625588865196e+03,5.999954728351126337e-02
3.259999999999995215e-05,1.100010658286316811e+03,5.999954589039978997e-02
3.269999999999995458e-05,1.100010690983789118e+03,5.999954449728747696e-02
3.279999999999995701e-05,1.100010723681282116e+03,5.999954310417431741e-02
3.289999999999995944e-05,1.100010756378795804e+03,5.999954171106031131e-02
3.299999999999996187e-05,1.100010789076330184e+03,5.999954031794545867e-02
3.309999999999996430e-05,1.100010821773885255e+03,5.999953892482976642e-02
3.319999999999996673e-05,1.100010854471460789e+03,5.999953753171322762e-02
3.329999999999996916e-05,1.100010887169057014e+03,5.999953613859584228e-02
3.339999999999997160e-05,1.100010919866673930e+03,5.999953474547761734e-02
3.349999999999997403e-05,1.100010952564311538e+03,5.999953335235854585e-02
3.359999999999997646e-05,1.100010985261969836e+03,5.999953195923862781e-02
3.369999999999997889e-05,1.100011017959648825e+03,5.999953056611786323e-02
3.379999999999998132e-05,1.100011050657348505e+03,5.999952917299625904e-02
3.389999999999998375e-05,1.100011083355068877e+03,5.999952777987380831e-02
3.399999999999998618e-05,1.100011116052809712e+03,5.999952638675051103e-02
3.409999999999998861e-05,1.100011148750571238e+03,5.999952499362636721e-02
3.419999999999999104e-05,1.100011181448353454e+03,5.999952360050138378e-02
3.429999999999999347e-05,1.100011214146156362e+03,5.999952220737555381e-02
3.439999999999999590e-05,1.100011246843979961e+03,5.999952081424887729e-02
3.449999999999999833e-05,1.100011279541824251e+03,5.999951942112135422e-02
3.460000000000000076e-05,1.100011312239689232e+03,5.999951802799299155e-02
3.470000000000000319e-05,1.100011344937574904e+03,5.999951663486378234e-02
3.480000000000000563e-05,1.100011377635481267e+03,5.999951524173372658e-02
3.490000000000000806e-05,1.100011410333408321e+03,5.999951384860283121e-02
3.500000000000001049e-05,1.100011443031356066e+03,5.999951245547108930e-02
3.510000000000001292e-05,1.100011475729324502e+03,5.999951106233850084e-02
3.520000000000001535e-05,1.100011508427313629e+03,5.999950966920506584e-02
3.530000000000001778e-05,1.100011541125323447e+03,5.999950827607079124e-02
3.540000000000002021e-05,1.100011573823353956e+03,5.999950688293567008e-02
3.550000000000002264e-05,1.100011606521405156e+03,5.999950548979970238e-02
3.560000000000002507e-05,1.100011639219477047e+03,5.999950409666288814e-02
3.570000000000002750e-05,1.100011671917569629e+03,5.999950270352523429e-02
3.580000000000002993e-05,1.100011704615682902e+03,5.999950131038673390e-02
3.590000000000003236e-05,1.100011737313816866e+03,5.999949991724738696e-02
3.600000000000003479e-05,1.100011770011971521e+03,5.999949852410720041e-02
3.610000000000003722e-05,1.100011802710146867e+03,5.999949713096616732e-02
3.620000000000003965e-05,1.100011835408342904e+03,5.999949573782428769e-02
3.630000000000004209e-05,1.100011868106559632e+03,5.999949434468156151e-02
3.640000000000004452e-05,1.100011900804797051e+03,5.999949295153799572e-02
3.650000000000004695e-05,1.100011933503055161e+03,5.999949155839358339e-02
3.660000000000004938e-05,1.100011966201333962e+03,5.999949016524832451e-02
3.670000000000005181e-05,1.100011998899633454e+03,5.999948877210221909e-02
3.680000000000005424e-05,1.100012031597953637e+03,5.999948737895527406e-02
3.690000000000005667e-05,1.100012064296294511e+03,5.999948598580748249e-02
