# t [s], T [K], YF
3.390000000000017348e-04,1.100110944570633592e+03,5.999527343881141256e-02
3.400000000000017591e-04,1.100111272219802458e+03,5.999525948176052947e-02
3.410000000000017835e-04,1.100111599871270073e+03,5.999524552462486005e-02
3.420000000000018078e-04,1.100111927525036663e+03,5.999523156740441121e-02
3.430000000000018321e-04,1.100112255181102910e+03,5.999521761009918297e-02
3.440000000000018564e-04,1.100112582839469269e+03,5.999520365270916838e-02
3.450000000000018807e-04,1.100112910500136195e+03,5.999518969523436746e-02
3.460000000000019050e-04,1.100113238163104370e+03,5.999517573767478018e-02
3.470000000000019293e-04,1.100113565828374021e+03,5.999516178003040656e-02
3.480000000000019536e-04,1.100113893495945831e+03,5.999514782230124660e-02
3.490000000000019779e-04,1.100114221165820254e+03,5.999513386448730029e-02
3.500000000000020022e-04,1.100114548837997972e+03,5.999511990658856070e-02
3.510000000000020265e-04,1.100114876512479213e+03,5.999510594860502782e-02
3.520000000000020508e-04,1.100115204189264659e+03,5.999509199053670860e-02
3.530000000000020751e-04,1.100115531868354765e+03,5.999507803238359610e-02
3.540000000000020994e-04,1.100115859549749985e+03,5.999506407414569031e-02
3.550000000000021238e-04,1.100116187233451001e+03,5.999505011582298430e-02
3.560000000000021481e-04,1.100116514919458041e+03,5.999503615741548501e-02
3.570000000000021724e-04,1.100116842607771787e+03,5.999502219892318550e-02
3.580000000000021967e-04,1.100117170298392693e+03,5.999500824034608576e-02
3.590000000000022210e-04,1.100117497991321216e+03,5.999499428168419274e-02
3.600000000000022453e-04,1.100117825686558035e+03,5.999498032293749256e-02
3.610000000000022696e-04,1.100118153384103380e+03,5.999496636410599215e-02
3.620000000000022939e-04,1.100118481083957931e+03,5.999495240518969152e-02
3.630000000000023182e-04,1.100118808786122145e+03,5.999493844618858374e-02
3.640000000000023425e-04,1.100119136490596475e+03,5.999492448710267573e-02
3.650000000000023668e-04,1.100119464197381376e+03,5.999491052793196055e-02
3.660000000000023911e-04,1.100119791906477531e+03,5.999489656867643822e-02
3.670000000000024154e-04,1.100120119617885393e+03,5.999488260933610873e-02
3.680000000000024397e-04,1.100120447331605192e+03,5.999486864991097207e-02
3.690000000000024640e-04,1.100120775047637608e+03,5.999485469040102131e-02
3.700000000000024884e-04,1.100121102765983323e+03,5.999484073080626340e-02
3.710000000000025127e-04,1.100121430486642566e+03,5.999482677112669138e-02
3.720000000000025370e-04,1.100121758209615791e+03,5.999481281136230526e-02
3.730000000000025613e-04,1.100122085934903680e+03,5.999479885151310504e-02
3.740000000000025856e-04,1.100122413662506688e+03,5.999478489157909072e-02
3.750000000000026099e-04,1.100122741392425269e+03,5.999477093156025537e-02
3.760000000000026342e-04,1.100123069124659878e+03,5.999475697145660591e-02
3.770000000000026585e-04,1.100123396859210970e+03,5.999474301126813541e-02
3.780000000000026828e-04,1.100123724596079228e+03,5.999472905099484388e-02
3.790000000000027071e-04,1.100124052335264878e+03,5.999471509063673130e-02
3.800000000000027314e-04,1.100124380076768603e+03,5.999470113019379769e-02
3.810000000000027557e-04,1.100124707820590629e+03,5.999468716966604304e-02
3.820000000000027800e-04,1.100125035566731640e+03,5.999467320905346734e-02
3.830000000000028043e-04,1.100125363315192089e+03,5.999465924835606367e-02
3.840000000000028287e-04,1.100125691065972660e+03,5.999464528757383203e-02
3.850000000000028530e-04,1.100126018819073579e+03,5.999463132670677240e-02
3.860000000000028773e-04,1.100126346574495301e+03,5.999461736575488480e-02
